loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
2629897707,05/01/2020,CARLYLE DESIGNS LLC,100 W 14TH ST FL 2,NEW YORK,NY,10011,05/22/2021,Paid in Full,34792,34792,"JPMorgan Chase Bank, National Association",2,561499,Limited  Liability Company(LLC),"JPMorgan Chase Bank, National Association",35121.6,04/15/2021
6943118405,02/11/2021,TRANQUILITY NAIL & SPA,2001 South Road A127,Poughkeepsie,NY,12601,10/16/2021,Paid in Full,34792,34792,"FC Marketplace, LLC (dba Funding Circle)",9,812113,Partnership,"FC Marketplace, LLC (dba Funding Circle)",34979.49,09/01/2021
6985347406,05/15/2020,SAIKO SUSHI INC,5745 262 ST,Little Neck,NY,11362,08/11/2021,Paid in Full,34792,34792,WebBank,2,541990,Subchapter S Corporation,WebBank,35205.64,07/21/2021
1521447204,04/15/2020,THE ERIC NICHOLS AGENCY LLC,2483 CORNING RD,ELMIRA,NY,14903-1049,03/05/2021,Paid in Full,34791.65,34791.65,Visions FCU,3,524210,Limited  Liability Company(LLC),Visions FCU,34970.55,02/12/2021
4385257705,05/01/2020,QUALITECH HVAC CORP-SBA SMALL 7A TERM,50 Ray St,Freeport,NY,11520,11/20/2021,Paid in Full,34791.18,34791.18,"TD Bank, National Association",2,,Corporation,"TD Bank, National Association",35205.59,07/09/2021
8095307108,04/15/2020,ZLT TRADING INC,30 SKYLINE DR,PLAINVIEW,NY,11803-2510,02/10/2022,Paid in Full,34791,34791,CTBC Bank Corp. (USA).,5,423990,Corporation,CTBC Bank Corp. (USA).,35012.92,02/16/2021
9486787201,04/28/2020,TNS MANAGEMENT INC,933 Port Washington Blvd,Port Washington,NY,11050,05/14/2021,Paid in Full,34791,34791,Valley National Bank,2,531390,Subchapter S Corporation,Valley National Bank,35122.48,04/20/2021
1632548405,02/02/2021,GRACE EVANGLECIAL LUTHERAN CHURCH,1294 Bellmore Ave,North Bellmore,NY,11710-5512,02/18/2022,Paid in Full,34790,34790,"TD Bank, National Association",11,813110,Non-Profit Organization,"TD Bank, National Association",35107.94,01/03/2022
2150847701,05/01/2020,DR ROBIN CARLUCCI,220 GRACE CHURCH ST,PORT CHESTER,NY,10573,06/24/2021,Paid in Full,34790,34790,"JPMorgan Chase Bank, National Association",5,621391,Sole Proprietorship,"JPMorgan Chase Bank, National Association",35146.09,05/13/2021
2169977302,04/29/2020,MEDCODEBILL LLC,18-05 215th Street,Bayside,NY,11360,06/08/2021,Paid in Full,34790,34790,Celtic Bank Corporation,1,524210,Limited  Liability Company(LLC),Celtic Bank Corporation,35150.29,05/13/2021
2936029010,05/18/2021,JONATHAN POLLACK,129 E 82nd St # 3A,New York,NY,10028-0836,10/20/2021,Paid in Full,34790,34790,"TD Bank, National Association",1,541110,Sole Proprietorship,"TD Bank, National Association",34899.2,09/15/2021
4107177400,05/08/2020,NEED SALON AND SPA,280 E. Broad Street,ROCHESTER,NY,14604,07/09/2021,Paid in Full,34790,34790,The Canandaigua National Bank and Trust Company,7,812113,Limited  Liability Company(LLC),The Canandaigua National Bank and Trust Company,35190.08,06/30/2021
7800288407,02/12/2021,HERITAGE FOUNDATION FOR PRESERVATION OF THE JEWISH CEMETERIE,616 Bedford Ave Ste 2B,Brooklyn,NY,11249-9613,11/19/2021,Paid in Full,34790,34790,"JPMorgan Chase Bank, National Association",12,812220,Corporation,"JPMorgan Chase Bank, National Association",35027.71,10/26/2021
8784497103,04/15/2020,TECHNICAL SERVICES OF NY INC,225 South Fulton Street Suite 2 Suite 2,Ithaca,NY,14850,11/20/2020,Paid in Full,34790,34790,Manufacturers and Traders Trust Company,3,811212,Subchapter S Corporation,Manufacturers and Traders Trust Company,34958.15,10/13/2020
