loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
6725577104,04/14/2020,LAS CRUCES SURGICAL ASSOCIATES PA,1936 Coyote Ridge Drive,LAS CRUCES,NM,88011,04/17/2021,Paid in Full,42500,42500,First American Bank,4,621111,Professional Association,First American Bank,42873.06,03/05/2021
7171367004,04/07/2020,"JOEL'S HEAVY DUTY TOWING & RECOVERY, LLC",PO BOX,ARTESIA,NM,88211-0798,12/11/2020,Paid in Full,42500,42500,"Western Bank, Artesia, New Mexico",6,488410,Limited  Liability Company(LLC),"Western Bank, Artesia, New Mexico",42758.54,11/23/2020
7197407001,04/07/2020,NOMAD6920 LLC,2316 SUDDERTH DR,RUIDOSO,NM,88345-6126,04/09/2021,Paid in Full,42500,42500,City Bank,10,448190,Limited  Liability Company(LLC),City Bank,42900.21,03/22/2021
8183867700,05/01/2020,"JOURNEY TO WELLNESS COUNSELING LOS LUNAS, LLC",536 LOS RD SE,LOS LUNAS,NM,87031,05/25/2021,Paid in Full,42500,42500,"U.S. Bank, National Association",7,621999,Limited  Liability Company(LLC),"U.S. Bank, National Association",42903.75,04/13/2021
8953947305,05/01/2020,"CREATIVE SCHOOL PORTRAITS, INC.",8619 BRIGHTON DR NE,ALBUQUERQUE,NM,87122-2679,02/01/2022,Paid in Full,42500,42500,BMO Bank National Association,5,541921,Corporation,BMO Bank National Association,43086.74,09/23/2021
8954077110,04/15/2020,AGPRO TRUCKING INC,PO Box 3289,HOBBS,NM,88241,04/06/2021,Paid in Full,42500,42500,Centennial Bank,3,488510,Sole Proprietorship,Centennial Bank,42888.9,03/17/2021
5507617307,04/30/2020,"RON PINO INSURANCE AGENCY, INC.","4250 Coors Blvd SW, Suite A",Albuquerque,NM,87121,02/01/2022,Paid in Full,42495,42495,BMO Bank National Association,5,524210,Subchapter S Corporation,BMO Bank National Association,42924.67,05/06/2021
2280918300,01/20/2021,JERRY TODD ROBERTSON,627 Sudderth Dr,Ruidoso,NM,88345-6200,10/07/2021,Paid in Full,42483.7,42483.7,First Savings Bank,5,721110,Sole Proprietorship,First Savings Bank,42755.12,09/09/2021
3864267210,04/27/2020,"PARSONS STEAKHOUSE, INC.",910 Colonial Pkwy,Clovis,NM,88101-3006,06/22/2021,Paid in Full,42461,42461,First Financial Bank,3,722511,Corporation,First Financial Bank,42880.89,04/21/2021
5636597103,04/13/2020,Q2 HOSPITALITY INC,4081 HIGH RESORT BLVD SE,RIO RANCHO,NM,87124-5906,05/26/2021,Paid in Full,42438.07,42438.07,"TBK Bank, SSB",3,721110,Corporation,"TBK Bank, SSB",42729.9,02/16/2021
8861777109,04/15/2020,SCHORR ENTERPRISES INC,5647 PARADISE BLVD NW,ALBUQUERQUE,NM,87114,08/17/2021,Paid in Full,42437,42437,"U.S. Bank, National Association",8,447190,Corporation,"U.S. Bank, National Association",42969.82,07/13/2021
2598898405,02/03/2021,THAT INSPECTION COMPANY,10401,ALBUQUERQUE,NM,87111,08/13/2021,Paid in Full,42435,42435,Itria Ventures LLC,3,541350,Sole Proprietorship,Itria Ventures LLC,42633.03,07/30/2021
5127037210,04/27/2020,SANTA FE VACATION RENTALS LLC,417 East Palace Ave,SANTA FE,NM,87501,01/21/2021,Paid in Full,42432.75,42432.75,Century Bank,3,721110,Limited  Liability Company(LLC),Century Bank,42697.95,12/11/2020
6373537109,04/14/2020,"S&G OILFIELD SERVICES, INC.",37 D ROAD 3950,FARMINGTON,NM,87401-7978,07/20/2022,Paid in Full,42429.01,42429.01,Four Corners Community Bank,8,484220,Corporation,Four Corners Community Bank,29268.72,11/12/2020
7077488604,03/23/2021,LOST HIKER BREWING COMPANY LLC,26394 US Highway 70 # 6,Ruidoso Downs,NM,88346-9153,10/09/2021,Paid in Full,42422.35,42422.35,City Bank,9,722410,Limited  Liability Company(LLC),City Bank,42629.75,09/20/2021
1844817300,04/28/2020,JEWELRY PRODUCTS INC,3200 Carlisle Blvd. NE,ALBUQUERQUE,NM,87110,06/19/2021,Paid in Full,42400,42400,Mountain America FCU,3,448310,Corporation,Mountain America FCU,42790.31,04/02/2021
4312247102,04/13/2020,MOUNTAIN RUN PARTNERS,5850 EUBANK BLVD NE STE B62,ALBUQUERQUE,NM,87111-6111,07/17/2021,Paid in Full,42400,42400,"BOKF, National Association",5,531120,Partnership,"BOKF, National Association",42887.6,06/10/2021
6428397102,04/14/2020,"RED ARROW AVIATION, LLC",8063 AIRPORT RD,SANTA TERESA,NM,88008-9754,05/20/2021,Paid in Full,42400,42400,WestStar Bank,10,611512,Limited  Liability Company(LLC),WestStar Bank,42820.47,04/19/2021
7514018809,04/21/2021,REALEYES INC.,1021 Salazar Rd Ste B100,Taos,NM,87571-8212,04/30/2021,Paid in Full,42400,42400,First-Citizens Bank & Trust Company,7,621320,Corporation,First-Citizens Bank & Trust Company,42843.75,05/11/2022
7577737008,04/07/2020,DISCOUNT WIRELESS LLC,835 MAIN ST SE STE 104,LOS LUNAS,NM,87031-8306,03/11/2021,Paid in Full,45100,42400,"BOKF, National Association",5,517312,Limited  Liability Company(LLC),"BOKF, National Association",42631.16,02/16/2021
9519357209,04/28/2020,CALIENTE PROPERTIES LTD. CO.,5619 MARIOLA PL NE,5619 MARIOLA PL NE,NM,87111,04/21/2021,Paid in Full,42400,42400,Enterprise Bank & Trust,5,531390,Limited  Liability Company(LLC),Enterprise Bank & Trust,42774.53,03/24/2021
5915237005,04/06/2020,"MURDOCK MACHINE SHOP, INC.",MAIN ST,ARTESIA,NM,88210-9608,11/07/2020,Paid in Full,42394.8,42394.8,"Western Bank, Artesia, New Mexico",4,332710,Corporation,"Western Bank, Artesia, New Mexico",42609.13,10/13/2020
