loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
8363328510,03/09/2021,LIFETEIN LLC,294 Berkley Ave,Belle Mead,NJ,08502-4649,10/16/2021,Paid in Full,77422,77422,"Bank of America, National Association",6,541714,Limited  Liability Company(LLC),"Bank of America, National Association",77808.05,09/10/2021
7858478310,01/28/2021,ORTHOPAEDIC AND SPORTS SPECIALISTS PC,798 S Route 73,West Berlin,NJ,08091-2620,11/20/2021,Paid in Full,77420,77420,"TD Bank, National Association",7,621111,Subchapter S Corporation,"TD Bank, National Association",77944.74,10/07/2021
4133517704,05/01/2020,B PUNTASECCA INC,210 WILLOW AVE,HACKENSACK,NJ,07601,03/20/2021,Paid in Full,77417,77417,"TD Bank, National Association",16,,Corporation,"TD Bank, National Association",78021.28,02/10/2021
4798208608,03/20/2021,TALK OF THE WALK INC,3 Harbor Ln 3 Harbor Lane,Margate City,NJ,08402-1663,01/15/2022,Paid in Full,77407.5,77407.5,Sturdy Savings Bank,33,448120,Corporation,Sturdy Savings Bank,77934.3,12/14/2021
8776567209,04/28/2020,TALK OF THE WALK INC.,410 South Main Street,PLEASANTVILLE,NJ,08232,05/12/2021,Paid in Full,77407,77407,Sturdy Savings Bank,33,448120,Corporation,Sturdy Savings Bank,78166.02,04/26/2021
5419738304,01/25/2021,GEORGE PRESS INC,74 S Livingston Ave,Livingston,NJ,07039-3009,12/10/2021,Paid in Full,77405,77405,Valley National Bank,7,448310,Corporation,Valley National Bank,78041.44,11/26/2021
4249577702,05/01/2020,"STEELE SERVICES, INC.-SBA SMALL 7A TERM",364 N Main St,Manahawkin,NJ,08050,01/22/2021,Paid in Full,77400,77400,"TD Bank, National Association",6,,Corporation,"TD Bank, National Association",77888.05,12/21/2020
5419057305,04/30/2020,B&B CUSTOM PAINTING COMPANY INC,607 Cooper Road,West Berlin,NJ,08091,02/25/2021,Paid in Full,77400,77400,Truist Bank,6,238320,Corporation,Truist Bank,77847.2,12/31/2020
6604757408,05/14/2020,"J N J WELDING AND FABRICATION, LLC",9 DEMOCRAT RD,GIBBSBORO,NJ,08026,11/18/2021,Paid in Full,77400,77400,Quontic Bank,6,811310,Limited  Liability Company(LLC),Intuit Financing Inc.,78492.08,10/15/2021
7693097700,05/01/2020,CENTER FOR NON PROFIT CORP INC,3635 Quakerbridge Road,Mercerville,NJ,08619-1247,08/11/2021,Paid in Full,77400,77400,"PNC Bank, National Association",6,813319,Non-Profit Organization,"PNC Bank, National Association",78290.1,07/02/2021
7808867707,05/01/2020,FAITH BAPTIST CHURCH,2111 KUSER RD,TRENTON,NJ,08690-3605,07/10/2021,Paid in Full,77400,77400,"PNC Bank, National Association",5,813110,Non-Profit Organization,"PNC Bank, National Association",78262.15,06/15/2021
8524938703,04/07/2021,D & L PEDIATRIC DENTAL ASSOCIATES LLC,3322 US Highway 22 Ste 201,Branchburg,NJ,08876-3392,11/09/2021,Paid in Full,77400,77400,Mid Penn Bank,12,621210,Limited  Liability Company(LLC),Mid Penn Bank,77819.25,10/22/2021
4773198502,02/26/2021,TRI VALLEY RESTAURANT LLC,366 Knickerbocker Rd 366 Knickerbocker Rd,Dumont,NJ,07628-1315,03/05/2021,Paid in Full,77399,77399,"PNC Bank, National Association",10,722511,Limited  Liability Company(LLC),"PNC Bank, National Association",78321.34,05/05/2022
6269737306,04/30/2020,RICHARD A ZYM DMD PA,271 US HIGHWAY 46 STE G109,FAIRFIELD,NJ,07004-2489,09/25/2021,Paid in Full,77397,77397,"Bank of America, National Association",7,621111,Corporation,"Bank of America, National Association",75359.01,08/19/2021
1874637709,05/01/2020,WHITLOCK CANTER LLC,EAST 80 ROUTE 4 SUITE 170,PARAMUS,NJ,07652,08/20/2021,Paid in Full,77395,77395,"JPMorgan Chase Bank, National Association",5,,Limited  Liability Company(LLC),"JPMorgan Chase Bank, National Association",78319.91,07/15/2021
6859488604,03/23/2021,BLOOM AGENCY LLC,418 45th St,Union City,NJ,07087-5000,10/19/2021,Paid in Full,77394,77394,WebBank,13,561320,Limited  Liability Company(LLC),WebBank,77757.32,09/13/2021
2461677107,04/10/2020,"PATRICK CALVI, D.M.D., P.A.",2198 NEW ROAD,LINWOOD,NJ,08221-1031,02/18/2022,Paid in Full,77392.42,77392.42,Loan Source Incorporated,12,621210,Corporation,"OceanFirst Bank, National Association",78380.5,07/29/2021
1315388401,02/01/2021,PATRICK CALVI D.M.D. P.A.,2198 New Rd,Linwood,NJ,08221-1031,02/18/2022,Paid in Full,77392,77392,Loan Source Incorporated,5,621210,Corporation,Northeast Bank,77962.37,11/09/2021
1896047710,05/01/2020,FLIGHT LINE AIRCRAFT DETAILING LLC,401 INDUSTRIAL AVE,TETERBORO,NJ,07608,07/22/2021,Paid in Full,77380,77380,"JPMorgan Chase Bank, National Association",9,811192,Limited  Liability Company(LLC),"JPMorgan Chase Bank, National Association",78260.5,06/24/2021
9208907102,04/15/2020,"HUA ZHU, LLC",1390 ROUTE 22 WEST,LEBANON,NJ,08833,03/23/2021,Paid in Full,77372,77372,"TD Bank, National Association",6,621210,Limited  Liability Company(LLC),"TD Bank, National Association",77897.14,02/16/2021
7754357907,06/17/2020,MODERNO LLC,2 Corn Road,South Brunswick Township,NJ,08810-1527,08/07/2021,Paid in Full,77371.19,77371.19,"Square Capital, LLC",9,423920,Limited  Liability Company(LLC),Celtic Bank Corporation,78197.9,07/13/2021
2632517100,04/11/2020,CHRIS CLARIZIO ASSOCIATES INC,1 PLEASANT VALLEY ROAD,DENVILLE,NJ,07834-2974,04/10/2021,Paid in Full,77370,77370,"Wells Fargo Bank, National Association",4,423220,Corporation,"Wells Fargo Bank, National Association",78082.23,03/18/2021
6000158400,02/09/2021,NAMOO FINE WOODWORKING INC,58 2nd Ave # 60,Paterson,NJ,07514-2004,03/02/2021,Paid in Full,77370,77370,"JPMorgan Chase Bank, National Association",5,337110,Subchapter S Corporation,"JPMorgan Chase Bank, National Association",78338.84,05/17/2022
5852087304,04/30/2020,"NORTHSTAR CRUISES, INC.",144 Fells Road,Essex Fells,NJ,07021,04/20/2021,Paid in Full,77369.37,77369.37,American Express National Bank,2,487990,Subchapter S Corporation,American Express National Bank,78079.47,04/08/2021
1452638400,02/02/2021,YUE WANG MD LLC,2065 Klockner Rd,Hamilton Square,NJ,08690-3414,08/21/2021,Paid in Full,77367,77367,"Santander Bank, National Association",11,621111,Limited  Liability Company(LLC),"Santander Bank, National Association",77729.46,07/27/2021
