loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
1591837209,04/15/2020,LOOPED LLC,9 Prairie Breeze RD,RIVERTON,WY,82501,02/19/2021,Paid in Full,26020,26020,First Interstate Bank,1,541330,Corporation,First Interstate Bank,26208.2,01/07/2021
2405867307,04/29/2020,COLT CONSTRUCTION LLC,101 Stevenson Rd,LARAMIE,WY,82070,02/18/2021,Paid in Full,26017.82,26017.82,First Interstate Bank,4,236115,Limited  Liability Company(LLC),First Interstate Bank,26201.73,01/14/2021
6635388501,03/04/2021,MDDB LLC,4600 Overdale Dr,Gillette,WY,82718-7621,03/09/2022,Paid in Full,26008.5,26008.5,First National Bank of Gillette,2,722511,Limited  Liability Company(LLC),First National Bank of Gillette,26256.47,02/17/2022
1082748302,01/16/2021,"PRECISION GRAPHICS, INC.",601 W Lincolnway,Cheyenne,WY,82001-4301,07/16/2021,Paid in Full,26000,26000,Jonah Bank of Wyoming,3,541990,Corporation,Jonah Bank of Wyoming,26104,06/15/2021
1108298406,02/01/2021,INTEGRITY BUSINESS S,400 S Kendrick Ave Ste 204,Gillette,WY,82716-3800,09/15/2021,Paid in Full,26000,26000,First National Bank of Gillette,5,541219,Limited  Liability Company(LLC),First National Bank of Gillette,26137.48,08/17/2021
1670017404,05/04/2020,"DIRECT FAMILY CARE, LLC",141 COAL TRAIN RD,GILLETTE,WY,82718-9411,12/19/2020,Paid in Full,26000,26000,Security State Bank,3,621111,Limited  Liability Company(LLC),Security State Bank,26142.28,11/27/2020
2518127108,04/10/2020,"307 PROCESSING & SAUSAGE, LLC",PO BOX 106,BYRON,WY,82412,02/18/2021,Paid in Full,26000,26000,Pinnacle Bank-Wyoming,6,445210,Limited  Liability Company(LLC),Pinnacle Bank-Wyoming,26188.77,01/07/2021
4441457004,04/03/2020,YELLOWSTONE ANIMAL HEALTH CENTER,109 Kornegay Court,CHEYENNE,WY,82009-4114,02/12/2021,Paid in Full,26000,26000,Jonah Bank of Wyoming,4,541940,Subchapter S Corporation,Jonah Bank of Wyoming,26193.04,01/07/2021
4612667003,04/04/2020,33 MILE RANCH LLC,7750 33 Mile Rd.,CASPER,WY,82604-9590,01/16/2021,Paid in Full,26000,26000,Jonah Bank of Wyoming,3,111199,Limited  Liability Company(LLC),Jonah Bank of Wyoming,26177.07,02/12/2021
4709287003,04/04/2020,WELTY'S AUTO SERVICE INC.,3 Lanes Ln.,SHERIDAN,WY,82801-1407,01/08/2021,Paid in Full,26000,26000,First Federal Bank & Trust,2,811111,Corporation,First Federal Bank & Trust,26170.96,12/10/2020
5001267007,04/04/2020,"BRUCE BROWN CPA, LLC","400 S Kendrick Avenue, Suite 204",GILLETTE,WY,82716-3800,03/05/2021,Paid in Full,26000,26000,First National Bank of Gillette,5,541211,Limited  Liability Company(LLC),First National Bank of Gillette,26221.53,02/19/2021
5178697100,04/13/2020,ROCKY MOUNTAIN SEAFOOD LLC,492 Washington Street,AFTON,WY,83110-0158,12/04/2020,Paid in Full,26000,26000,Bank of Star Valley,3,722511,Corporation,Bank of Star Valley,26154,02/12/2021
5203007008,04/05/2020,INTEGRITY BUSINESS SYSTEMS LLC,400 S. KENDRICK AVE #201D,GILLETTE,WY,82716-3800,03/05/2021,Paid in Full,26000,26000,First National Bank of Gillette,5,541219,Limited  Liability Company(LLC),First National Bank of Gillette,26211.56,02/09/2021
5471627100,04/13/2020,BAYOU LIQUORS INC,301 Platte Ave,CASPER,WY,82601-1111,02/06/2021,Paid in Full,26000,26000,ANB Bank,10,722410,Corporation,ANB Bank,26198.03,01/27/2021
7941317008,04/08/2020,"R & L CONTRACTORS, INC",5512 S WINLAND DR,GILLETTE,WY,82718-6944,04/09/2021,Paid in Full,26000,26000,First National Bank of Gillette,4,236115,Subchapter S Corporation,First National Bank of Gillette,26235.07,03/18/2021
8948098606,03/25/2021,MASCARO FARMS LLC,518 Road 47,Ten Sleep,WY,82442-8832,11/16/2021,Paid in Full,26000,26000,Jonah Bank of Wyoming,2,111940,Limited  Liability Company(LLC),Jonah Bank of Wyoming,26145.32,10/20/2021
7827408308,01/28/2021,COUNTY 10 FLOORING & FINISH WORKLLC,511 N 4th St,Lander,WY,82520-2222,09/16/2021,Paid in Full,25992,25992,First Interstate Bank,7,238990,Limited  Liability Company(LLC),First Interstate Bank,26137.27,08/25/2021
9089827000,04/09/2020,CODY MOTEL INC,75 CENTER STREET,ROCK SPRINGS,WY,82901-5121,12/08/2020,Paid in Full,25987,25987,RSNB Bank,5,721110,Corporation,RSNB Bank,26161.11,02/16/2021
7078249001,05/23/2021,W & M THOMAN RANCHES LLC,38622 State Highway 372,Kemmerer,WY,83101-9727,03/10/2022,Paid in Full,25976,25976,Montana Community Development Corp.,2,112410,Limited  Liability Company(LLC),Montana Community Development Corp.,26147.01,02/03/2022
