loannumber,dateapproved,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,initialapprovalamount,currentapprovalamount,servicinglendername,jobsreported,naicscode,businesstype,originatinglender,forgivenessamount,forgivenessdate
2559648310,01/21/2021,ANDY N TRINH DDS PLLC,12537 116th Ave NE,Kirkland,WA,98034-4310,08/20/2021,Paid in Full,74885,74885,Umpqua Bank,9,621210,Limited  Liability Company(LLC),Umpqua Bank,75244.04,07/26/2021
4059107308,04/29/2020,ACE AUTO WRECKING,742 3RD AVE,LONGVIEW,WA,98632,02/15/2023,Charged Off,74882,74882,"U.S. Bank, National Association",8,441310,Corporation,"U.S. Bank, National Association",73682.72,03/25/2021
1493987400,05/04/2020,SANWA TRADING COMPANY LTD,2450 6TH AVE S STE 204,SEATTLE,WA,98134,03/23/2022,Paid in Full,74877,74877,Cross River Bank,4,424460,Corporation,"Kabbage, Inc.",75974.51,10/25/2021
2891788210,08/03/2020,"ABW FOODS, LLC",7600 196TH ST SW STE 900,LYNNWOOD,WA,98036-4403,05/18/2022,Paid in Full,74877,74877,"Bank of America, National Association",18,722511,Limited  Liability Company(LLC),"Bank of America, National Association",76114.01,03/31/2022
2184748504,02/20/2021,ALPHA BUILDER CORPORATION,402 S Lincoln St,Port Angeles,WA,98362-3022,09/15/2021,Paid in Full,74875,74875,Kitsap Bank,10,236115,Corporation,Kitsap Bank,75247.3,08/23/2021
2818717709,05/01/2020,ISLAND CONTRACTORS SUPPLY LLC,19405 68TH DR NE STE D,ARLINGTON,WA,98223,04/23/2021,Paid in Full,74875,74875,"JPMorgan Chase Bank, National Association",7,236117,Limited  Liability Company(LLC),"JPMorgan Chase Bank, National Association",75539.47,03/24/2021
2916267110,04/11/2020,DEALS ONLY WEB STORE INC,1645 JILLS CT STE 103,BELLINGHAM,WA,98226-1217,05/15/2021,Paid in Full,74875,74875,Heritage Bank,9,454110,Subchapter S Corporation,Heritage Bank,75648.37,04/29/2021
5404348607,03/20/2021,KAREN BENNETT,5506 NE 70th St,Seattle,WA,98115-6239,12/17/2021,Paid in Full,74874,74874,"Bank of America, National Association",9,621210,Sole Proprietorship,"Bank of America, National Association",75337.6,11/03/2021
6439127707,05/01/2020,"KAREN MARIE BENNETT, DDS",6502 NE 181ST ST,KENMORE,WA,98028-4802,04/16/2021,Paid in Full,74874,74874,"Bank of America, National Association",8,,Sole Proprietorship,"Bank of America, National Association",75516.07,03/11/2021
8892978305,01/30/2021,DENNIS PATTERSON INC.,4619 Pacific Ave,Tacoma,WA,98408-7739,09/28/2021,Paid in Full,74872,74872,Umpqua Bank,3,238210,Cooperative,Umpqua Bank,75263.8,08/16/2021
